PolicyID,Region,Type,Coverage,Premium,Claimed
KAG00000,California,Basic,100000.0,5000.0,0
KAG00001,Washington,Basic,106102.09999999999,5000.0,0
KAG00002,Oregon,Extended,138680.2,5000.0,0
KAG00003,California,Basic,100000.0,5000.0,0
KAG00004,Washington,Basic,100000.0,5000.0,0
KAG00005,Arizona,Premium,100000.0,5000.0,0
KAG00006,Washington,Basic,100000.0,5000.0,0
KAG00007,California,Basic,100000.0,5000.0,1
KAG00008,California,Basic,100000.0,5000.0,0
KAG00009,California,Basic,100000.0,5000.0,0
KAG00010,Oregon,Basic,100000.0,5000.0,0
KAG00011,California,Premium,165790.3,5000.0,1
KAG00012,Arizona,Basic,100000.0,5000.0,0
KAG00013,Arizona,Extended,100000.0,5000.0,0
KAG00014,Arizona,Basic,100000.0,5000.0,0
KAG00015,California,Basic,276441.0,5000.0,0
KAG00016,California,Basic,100000.0,5000.0,0
KAG00017,Arizona,Basic,100000.0,5000.0,0
KAG00018,Arizona,Extended,112377.09999999999,5000.0,0
KAG00019,Oregon,Basic,100000.0,5000.0,0
KAG00020,California,Extended,100000.0,5000.0,0
KAG00021,Oregon,Basic,100000.0,5000.0,0
KAG00022,Oregon,Basic,100000.0,5000.0,0
KAG00023,Nevada,Basic,100000.0,5000.0,0
KAG00024,Arizona,Basic,100000.0,5000.0,1
KAG00025,Oregon,Extended,127885.1,5000.0,0
KAG00026,California,Basic,100000.0,5000.0,0
KAG00027,California,Premium,114190.20000000001,5000.0,0
KAG00028,Washington,Basic,100000.0,5000.0,0
KAG00029,Arizona,Basic,100000.0,5000.0,0
KAG00030,California,Basic,113459.3,5000.0,0
KAG00031,Oregon,Basic,100000.0,5000.0,0
KAG00032,Oregon,Basic,100000.0,5000.0,0
KAG00033,Arizona,Extended,100000.0,5000.0,0
KAG00034,Oregon,Extended,100000.0,5000.0,0
KAG00035,Arizona,Basic,100000.0,5000.0,0
KAG00036,California,Basic,110615.59999999999,5000.0,0
KAG00037,Arizona,Basic,202718.5,5000.0,0
KAG00038,Oregon,Extended,134039.8,5000.0,0
KAG00039,Arizona,Extended,100000.0,5000.0,0
KAG00040,Nevada,Premium,100000.0,5000.0,0
KAG00041,California,Extended,100000.0,5000.0,0
KAG00042,California,Basic,100000.0,5000.0,0
KAG00043,Washington,Basic,271308.10000000003,5000.0,1
KAG00044,Oregon,Basic,100000.0,5000.0,0
KAG00045,Arizona,Basic,121650.20000000001,5000.0,0
KAG00046,Nevada,Basic,165585.6,5000.0,0
KAG00047,Oregon,Premium,165790.3,5000.0,1
KAG00048,Arizona,Basic,100000.0,5000.0,1
KAG00049,California,Basic,113080.5,5000.0,0
KAG00050,California,Basic,100000.0,5000.0,0
KAG00051,Arizona,Extended,100000.0,5000.0,0
KAG00052,Washington,Extended,100000.0,5000.0,1
KAG00053,Oregon,Basic,100000.0,5000.0,0
KAG00054,Oregon,Basic,100000.0,5000.0,0
KAG00055,Arizona,Extended,100000.0,5000.0,1
KAG00056,Nevada,Basic,100000.0,5000.0,1
KAG00057,Arizona,Extended,122718.6,5000.0,0
KAG00058,Arizona,Premium,100615.5,5000.0,0
KAG00059,Nevada,Extended,372124.0,5000.0,0
KAG00060,California,Basic,100000.0,5000.0,0
KAG00061,California,Basic,100000.0,5000.0,0
KAG00062,Arizona,Extended,817508.6,5000.0,0
KAG00063,Oregon,Basic,100000.0,5000.0,0
KAG00064,California,Basic,100000.0,5000.0,0
KAG00065,Nevada,Extended,203631.1,5000.0,0
KAG00066,Washington,Basic,100000.0,5000.0,0
KAG00067,Washington,Premium,573250.1,5000.0,0
KAG00068,Washington,Basic,117368.9,5000.0,0
KAG00069,California,Basic,125470.20000000001,5000.0,0
KAG00070,Nevada,Extended,100000.0,5000.0,0
KAG00071,Oregon,Basic,156738.4,5000.0,0
KAG00072,Arizona,Basic,309695.2,5000.0,0
KAG00073,Oregon,Extended,100000.0,5000.0,0
KAG00074,California,Basic,100000.0,5000.0,0
KAG00075,Oregon,Premium,165790.3,5000.0,1
KAG00076,Oregon,Basic,100000.0,5000.0,0
KAG00077,California,Basic,271308.10000000003,5000.0,1
KAG00078,California,Premium,100000.0,5000.0,0
KAG00079,Arizona,Extended,478498.2,5000.0,0
KAG00080,Washington,Basic,100000.0,5000.0,0
KAG00081,Oregon,Basic,100000.0,5000.0,0
KAG00082,California,Basic,271308.10000000003,5000.0,1
KAG00083,Oregon,Basic,271308.10000000003,5000.0,1
KAG00084,Oregon,Basic,109970.8,5000.0,0
KAG00085,California,Basic,151581.9,5000.0,0
KAG00086,California,Extended,108084.0,5000.0,0
KAG00087,Oregon,Basic,100062.4,5000.0,0
KAG00088,California,Basic,307245.3,5000.0,0
KAG00089,Oregon,Premium,323792.4,5000.0,0
KAG00090,Nevada,Basic,100000.0,5000.0,0
KAG00091,California,Basic,111616.0,5000.0,0
KAG00092,California,Extended,100000.0,5000.0,1
KAG00093,Arizona,Premium,563557.6,5000.0,0
KAG00094,Oregon,Extended,100000.0,5000.0,0
KAG00095,Oregon,Basic,109890.0,5000.0,0
KAG00096,California,Extended,126280.7,5000.0,0
KAG00097,Oregon,Basic,100000.0,5000.0,0
KAG00098,Washington,Basic,100000.0,5000.0,0
KAG00099,Washington,Basic,100000.0,5000.0,0
KAG00100,Oregon,Extended,100000.0,5000.0,0
KAG00101,Washington,Basic,271308.10000000003,5000.0,1
KAG00102,Oregon,Extended,100000.0,5000.0,1
KAG00103,Oregon,Basic,100000.0,5000.0,0
KAG00104,California,Extended,136212.19999999998,5000.0,0
KAG00105,California,Extended,100000.0,5000.0,0
KAG00106,Arizona,Basic,100000.0,5000.0,0
KAG00107,Oregon,Basic,100000.0,5000.0,0
KAG00108,Oregon,Extended,100000.0,5000.0,0
KAG00109,California,Basic,100000.0,5000.0,0
KAG00110,Arizona,Extended,100000.0,5000.0,0
KAG00111,California,Basic,100000.0,5000.0,0
KAG00112,Nevada,Extended,211587.3,5000.0,0
KAG00113,California,Extended,100000.0,5000.0,0
KAG00114,Arizona,Extended,100000.0,5000.0,1
KAG00115,California,Premium,165790.3,5000.0,1
KAG00116,Arizona,Basic,194803.6,5000.0,0
KAG00117,California,Basic,100000.0,5000.0,1
KAG00118,Washington,Premium,151152.19999999998,5000.0,0
KAG00119,Oregon,Basic,119183.09999999999,5000.0,0
KAG00120,California,Basic,100000.0,5000.0,0
KAG00121,Washington,Basic,120647.09999999999,5000.0,0
KAG00122,Oregon,Extended,168434.7,5000.0,0
KAG00123,Nevada,Basic,270245.80000000005,5000.0,0
KAG00124,Washington,Basic,100000.0,5000.0,0
KAG00125,Arizona,Premium,100000.0,5000.0,0
KAG00126,California,Basic,100000.0,5000.0,0
KAG00127,Arizona,Basic,271308.10000000003,5000.0,1
KAG00128,Arizona,Basic,100000.0,5000.0,0
KAG00129,Oregon,Basic,197025.09999999998,5000.0,0
KAG00130,Oregon,Extended,131308.4,5000.0,0
KAG00131,California,Extended,103682.0,5000.0,0
KAG00132,California,Extended,100000.0,5000.0,0
KAG00133,California,Basic,100000.0,5000.0,1
KAG00134,Oregon,Basic,418045.3,5000.0,0
KAG00135,Nevada,Extended,100000.0,5000.0,1
KAG00136,California,Basic,100000.0,5000.0,0
KAG00137,Nevada,Extended,421671.1,5000.0,0
KAG00138,Arizona,Extended,100000.0,5000.0,0
KAG00139,California,Extended,100000.0,5000.0,0
KAG00140,California,Premium,165790.3,5000.0,1
KAG00141,California,Basic,100000.0,5000.0,0
KAG00142,California,Basic,100000.0,5000.0,0
KAG00143,California,Basic,111545.5,5000.0,0
KAG00144,California,Premium,100000.0,5000.0,0
KAG00145,California,Premium,165790.3,5000.0,1
KAG00146,California,Basic,100000.0,5000.0,0
KAG00147,California,Basic,205810.9,5000.0,0
KAG00148,Arizona,Extended,100000.0,5000.0,0
KAG00149,California,Extended,100000.0,5000.0,0
KAG00150,Washington,Basic,100000.0,5000.0,0
KAG00151,Washington,Basic,100000.0,5000.0,1
KAG00152,Nevada,Extended,100000.0,5000.0,0
KAG00153,Arizona,Extended,179676.0,5000.0,0
KAG00154,California,Basic,100000.0,5000.0,1
KAG00155,Nevada,Extended,100000.0,5000.0,0
KAG00156,Oregon,Extended,187884.59999999998,5000.0,0
KAG00157,California,Extended,152794.8,5000.0,0
KAG00158,Oregon,Basic,100000.0,5000.0,0
KAG00159,Oregon,Extended,100000.0,5000.0,1
KAG00160,Washington,Basic,363153.6,5000.0,0
KAG00161,California,Extended,141841.4,5000.0,0
KAG00162,Washington,Premium,100000.0,5000.0,0
KAG00163,Nevada,Basic,100000.0,5000.0,1
KAG00164,Arizona,Basic,249123.30000000002,5000.0,0
KAG00165,California,Premium,102751.4,5000.0,0
KAG00166,Nevada,Extended,100000.0,5000.0,0
KAG00167,Oregon,Basic,100000.0,5000.0,0
KAG00168,Oregon,Basic,100000.0,5000.0,0
KAG00169,California,Basic,116763.9,5000.0,0
KAG00170,California,Extended,100000.0,5000.0,0
KAG00171,California,Extended,100000.0,5000.0,0
KAG00172,Oregon,Basic,100000.0,5000.0,0
KAG00173,Oregon,Basic,100000.0,5000.0,0
KAG00174,California,Extended,131053.2,5000.0,0
KAG00175,Oregon,Basic,100000.0,5000.0,0
KAG00176,Nevada,Extended,100000.0,5000.0,0
KAG00177,Oregon,Basic,100000.0,5000.0,0
KAG00178,Oregon,Basic,100000.0,5000.0,0
KAG00179,Arizona,Basic,100000.0,5000.0,0
KAG00180,Oregon,Extended,100000.0,5000.0,0
KAG00181,Oregon,Premium,110822.2,5000.0,0
KAG00182,Arizona,Extended,100000.0,5000.0,0
KAG00183,Nevada,Extended,100000.0,5000.0,0
KAG00184,Oregon,Basic,100000.0,5000.0,0
KAG00185,Oregon,Premium,100000.0,5000.0,0
KAG00186,Nevada,Basic,120169.79999999999,5000.0,0
KAG00187,Oregon,Basic,100000.0,5000.0,0
KAG00188,California,Basic,123326.4,5000.0,0
KAG00189,California,Basic,100000.0,5000.0,0
KAG00190,California,Basic,100000.0,5000.0,0
KAG00191,California,Basic,113336.20000000001,5000.0,0
KAG00192,Nevada,Basic,112138.4,5000.0,0
KAG00193,Arizona,Basic,100000.0,5000.0,0
KAG00194,California,Extended,125821.20000000001,5000.0,0
KAG00195,Oregon,Basic,100000.0,5000.0,0
KAG00196,Oregon,Basic,100000.0,5000.0,1
KAG00197,Oregon,Basic,100000.0,5000.0,0
KAG00198,Arizona,Extended,100000.0,5000.0,0
KAG00199,Arizona,Basic,100000.0,5000.0,0
KAG00200,Nevada,Extended,100000.0,5000.0,0
KAG00201,Arizona,Premium,100000.0,5000.0,0
KAG00202,California,Extended,262634.5,5000.0,0
KAG00203,Washington,Premium,100000.0,5000.0,0
KAG00204,Arizona,Basic,100000.0,5000.0,0
KAG00205,Washington,Premium,126329.5,5000.0,0
KAG00206,Arizona,Premium,100075.0,5000.0,0
KAG00207,Arizona,Extended,130963.9,5000.0,0
KAG00208,Nevada,Basic,100000.0,5000.0,0
KAG00209,Washington,Extended,100000.0,5000.0,0
KAG00210,Oregon,Basic,100000.0,5000.0,1
KAG00211,Oregon,Basic,106074.3,5000.0,0
KAG00212,California,Basic,100000.0,5000.0,0
KAG00213,Arizona,Extended,100000.0,5000.0,0
KAG00214,Oregon,Basic,109127.8,5000.0,0
KAG00215,California,Extended,137096.6,5000.0,0
KAG00216,California,Basic,177908.80000000002,5000.0,0
KAG00217,Arizona,Basic,100000.0,5000.0,0
KAG00218,Arizona,Basic,100000.0,5000.0,0
KAG00219,California,Extended,100000.0,5000.0,0
KAG00220,Oregon,Basic,345351.69999999995,5000.0,0
KAG00221,Arizona,Premium,195985.40000000002,5000.0,0
KAG00222,California,Basic,103289.79999999999,5000.0,0
KAG00223,Arizona,Extended,230976.8,5000.0,0
KAG00224,California,Premium,100000.0,5000.0,0
KAG00225,Arizona,Extended,100000.0,5000.0,0
KAG00226,Oregon,Basic,116482.09999999999,5000.0,0
KAG00227,California,Extended,543185.6,5000.0,0
KAG00228,California,Extended,100000.0,5000.0,0
KAG00229,Oregon,Premium,100000.0,5000.0,0
KAG00230,Nevada,Basic,110669.1,5000.0,0
KAG00231,Nevada,Basic,100000.0,5000.0,0
KAG00232,Arizona,Extended,100000.0,5000.0,0
KAG00233,Nevada,Basic,221239.3,5000.0,0
KAG00234,California,Basic,155430.30000000002,5000.0,0
KAG00235,California,Basic,112808.4,5000.0,0
KAG00236,Nevada,Extended,100000.0,5000.0,1
KAG00237,Arizona,Basic,144540.0,5000.0,0
KAG00238,California,Basic,100000.0,5000.0,0
KAG00239,Oregon,Basic,156304.69999999998,5000.0,0
KAG00240,California,Basic,100000.0,5000.0,1
KAG00241,California,Extended,100000.0,5000.0,0
KAG00242,Arizona,Extended,100000.0,5000.0,0
KAG00243,Arizona,Basic,102606.0,5000.0,0
KAG00244,Oregon,Basic,100000.0,5000.0,0
KAG00245,Arizona,Basic,100000.0,5000.0,0
KAG00246,California,Basic,107106.6,5000.0,0
KAG00247,California,Basic,100000.0,5000.0,0
KAG00248,Oregon,Basic,100000.0,5000.0,0
KAG00249,California,Basic,101737.0,5000.0,0
KAG00250,Oregon,Basic,115646.7,5000.0,0
KAG00251,California,Basic,100000.0,5000.0,0
KAG00252,Oregon,Basic,100000.0,5000.0,0
KAG00253,Nevada,Basic,100000.0,5000.0,0
KAG00254,California,Basic,100000.0,5000.0,0
KAG00255,Nevada,Basic,100000.0,5000.0,1
KAG00256,Arizona,Extended,785796.2,5000.0,0
KAG00257,Washington,Basic,100000.0,5000.0,0
KAG00258,California,Basic,280350.0,5000.0,0
