PolicyID,Region,Type,Coverage,Premium,Claimed
P0001,East,Property,1465843,19060,1
P0002,West,Auto,750199,27520,1
P0003,North,Auto,323777,20156,1
P0004,East,Property,959909,13646,1
P0005,East,Auto,1154145,16664,1
P0006,West,Property,694124,7969,1
P0007,North,Health,728861,8028,1
P0008,North,Auto,529802,29027,1
P0009,East,Health,358090,24065,1
P0010,South,Property,1193578,8629,1
P0011,East,Health,871954,25609,1
P0012,East,Health,761614,8067,1
P0013,East,Property,779574,10941,1
P0014,East,Health,598870,22770,1
P0015,West,Health,1360367,24250,1
P0016,North,Property,302846,26172,1
P0017,West,Health,766997,16555,1
P0018,West,Property,1172647,26874,1
P0019,West,Health,1128455,18081,1
P0020,East,Property,1012259,25508,1
P0021,South,Property,272312,29724,1
P0022,North,Health,1405794,25234,1
P0023,South,Health,1363455,26799,1
P0024,West,Health,526650,29063,1
P0025,West,Auto,431868,11819,1
P0026,South,Auto,1028818,29762,1
P0027,South,Auto,157108,16046,1
P0028,South,Property,1259771,22717,1
P0029,West,Health,1185244,25534,1
P0030,West,Property,385205,28150,1
P0031,North,Auto,1489972,7711,1
P0032,North,Health,230560,9853,1
P0033,West,Property,1147172,27596,1
P0034,South,Health,247979,28863,1
P0035,South,Property,1298425,26792,1
P0036,North,Health,848589,12715,1
P0037,West,Auto,151745,13942,1
P0038,North,Auto,191865,20507,1
P0039,North,Health,1361466,20826,1
P0040,East,Property,1172200,6762,1
P0041,East,Auto,123321,20850,1
P0042,East,Auto,503704,17112,1
P0043,South,Auto,909006,28485,1
P0044,West,Health,1322869,29058,1
P0045,West,Health,1027982,17652,1
P0046,West,Property,286717,11122,1
P0047,West,Property,1128202,5481,1
P0048,East,Property,283868,19536,1
P0049,South,Health,759792,5153,1
P0050,South,Health,195257,12617,1
P0051,East,Property,688579,6524,1
P0052,South,Property,310176,7120,0
P0053,East,Health,290471,20048,1
P0054,West,Property,1014032,7343,1
P0055,East,Auto,572930,10136,1
P0056,West,Health,1017559,27144,1
P0057,West,Property,735605,6240,1
P0058,North,Health,1288365,5060,1
P0059,East,Auto,489593,14130,1
P0060,North,Health,915131,23023,1
P0061,East,Health,1222262,27569,1
P0062,East,Health,167661,17312,1
P0063,North,Health,668535,18350,1
P0064,North,Auto,1393697,29354,1
P0065,East,Health,366765,17418,1
P0066,South,Health,1294682,6252,1
P0067,West,Property,1407506,25587,1
P0068,North,Health,760482,13363,1
P0069,West,Property,904462,14650,1
P0070,South,Auto,969270,24933,1
P0071,South,Auto,548874,25581,1
P0072,South,Auto,953499,28393,1
P0073,North,Auto,1123980,28051,1
P0074,South,Property,218033,23706,1
P0075,North,Health,730265,21314,1
P0076,South,Auto,713157,9090,1
P0077,West,Health,921106,11960,1
P0078,West,Property,1315502,8004,1
P0079,East,Property,960120,26520,1
P0080,West,Property,531734,21713,1
P0081,East,Auto,765627,8640,1
P0082,West,Health,321897,29366,1
P0083,North,Health,101062,25491,1
P0084,West,Health,1396312,6341,1
P0085,East,Property,195462,16855,1
P0086,East,Auto,870173,29791,1
P0087,South,Property,672203,5338,1
P0088,North,Property,1415352,10895,1
P0089,West,Health,758956,17254,1
P0090,South,Property,631849,24092,1
P0091,West,Health,567010,16344,1
P0092,West,Auto,486193,6750,1
P0093,South,Health,126734,26988,1
P0094,South,Auto,1023875,7421,1
P0095,South,Health,126069,12119,1
P0096,South,Property,637198,10319,1
P0097,South,Property,1484199,20896,1
P0098,West,Auto,570951,27993,1
P0099,South,Auto,181264,26771,1
P0100,North,Auto,123275,16918,1
P0101,East,Health,696562,25377,1
P0102,South,Health,462920,29428,1
P0103,South,Auto,291076,18849,1
P0104,West,Property,1342629,29622,1
P0105,South,Health,1102163,9873,1
P0106,South,Health,672735,9806,1
P0107,South,Health,1012826,13592,1
P0108,West,Auto,699991,17182,1
P0109,South,Auto,962522,27297,1
